PeakID (cmd=annotatePeaks.pl tal1_specific.bed mm10 -annStats tal1_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
tal1_peak_800	chr16	96155248	96155283	+	167	NA	intron (NM_207301, intron 4 of 4)	PB1D7|SINE|Alu	9865	NM_207301	71446	Mm.255063	NM_207301	ENSMUSG00000023147	Wrb	5530402J05Rik|C030018G21Rik|Chd5	tryptophan rich basic protein	protein-coding
tal1_peak_2083	chr9	75347656	75347694	+	167	NA	promoter-TSS (NM_013479)	promoter-TSS (NM_013479)	-83	NM_013479	12049	Mm.25988	NM_013479	ENSMUSG00000032191	Bcl2l10	AA420380|AU023065|Boo|C85687|Diva	Bcl2-like 10	protein-coding
tal1_peak_1586	chr6	100506348	100506386	+	167	NA	Intergenic	PB1|SINE|Alu	-21033	NR_040525	73395	Mm.69413	NR_040525	ENSMUSG00000101553	1700049E22Rik	-	RIKEN cDNA 1700049E22 gene	ncRNA
tal1_peak_246	chr11	49435423	49435462	+	167	NA	Intergenic	L1MA6|LINE|L1	5015	NM_147066	259069	Mm.377820	NM_147066	ENSMUSG00000107573	Olfr1389	MOR256-1	olfactory receptor 1389	protein-coding
tal1_peak_247	chr11	50217430	50217466	+	167	NA	Intergenic	PB1D11|SINE|Alu	-6628	NM_011018	18412	Mm.40828	NM_011018	ENSMUSG00000015837	Sqstm1	A170|OSF-6|Osi|STAP|STONE14|p62	sequestosome 1	protein-coding
tal1_peak_1050	chr2	47299740	47299779	+	167	NA	Intergenic	PB1|SINE|Alu	-1514350	NM_007396	11480	Mm.314338	NM_007396	ENSMUSG00000052155	Acvr2a	ActrIIa|Acvr2|TactrII	activin receptor IIA	protein-coding
tal1_peak_1362	chr4	139023468	139023509	+	167	NA	intron (NM_029857, intron 13 of 16)	B1_Mus2|SINE|Alu	50583	NM_029857	77056	Mm.122336	NM_029857	ENSMUSG00000041143	Tmco4	4632413C14Rik|AI430825	transmembrane and coiled-coil domains 4	protein-coding
tal1_peak_56	chr1	75883688	75883728	+	167	NA	Intergenic	MLT1A1|LTR|ERVL-MaLR	337246	NM_001357150	20536	Mm.5053	NM_009208	ENSMUSG00000006576	Slc4a3	A930038D23Rik|Ae3	solute carrier family 4 (anion exchanger), member 3	protein-coding
tal1_peak_1345	chr4	128125614	128125652	+	167	NA	intron (NM_001281955, intron 3 of 70)	B1F|SINE|Alu	40964	NM_029137	74989	Mm.388887	NM_029137		Csmd2os	4930465A12Rik	CUB and Sushi multiple domains 2, opposite strand	protein-coding
tal1_peak_2437	chrX	163536002	163536042	+	167	NA	intron (NM_008177, intron 1 of 2)	L1PB4|LINE|L1	13714	NM_008177	14829	Mm.4687	NM_008177	ENSMUSG00000031364	Grpr	GRP-R	gastrin releasing peptide receptor	protein-coding
tal1_peak_750	chr16	33115874	33115915	+	167	NA	intron (NM_172823, intron 15 of 16)	ID_B1|SINE|B4	10533	NR_035469	100316698		NR_035469	ENSMUSG00000088860	Mir1947	mir-1947|mmu-mir-1947	microRNA 1947	ncRNA
tal1_peak_44	chr1	69208262	69208303	+	167	NA	Intergenic	B1_Mus1|SINE|Alu	-100223	NM_010154	13869	Mm.442420	NM_010154	ENSMUSG00000062209	Erbb4	Her4|c-erbB-4	erb-b2 receptor tyrosine kinase 4	protein-coding
tal1_peak_1139	chr2	152137329	152137364	+	167	NA	Intergenic	B1F|SINE|Alu	-6263	NM_009328	21407	Mm.3881	NM_009328	ENSMUSG00000068079	Tcf15	Meso1|bHLH-EC2	transcription factor 15	protein-coding
tal1_peak_1723	chr7	126281485	126281523	+	167	NA	intron (NM_145587, intron 1 of 3)	PB1D10|SINE|Alu	9008	NM_145587	104175	Mm.29660	NM_145587	ENSMUSG00000042978	Sbk1	Sbk	SH3-binding kinase 1	protein-coding
tal1_peak_1361	chr4	138356261	138356300	+	167	NA	intron (NM_028176, intron 1 of 3)	B1F|SINE|Alu	11675	NM_028176	72269	Mm.46182	NM_028176	ENSMUSG00000028755	Cda	2210401N16Rik	cytidine deaminase	protein-coding
tal1_peak_364	chr12	24492125	24492166	+	167	NA	Intergenic	B1_Mus2|SINE|Alu	-6436	NR_028341	21340	Mm.39082	NM_020614	ENSMUSG00000059669	Taf1b	4930408G01Rik|A230108M10Rik|TAFI68|Tafi86|p63	TATA-box binding protein associated factor, RNA polymerase I, B	protein-coding
tal1_peak_1711	chr7	120590179	120590216	+	167	NA	Intergenic	PB1D7|SINE|Alu	-7428	NR_024324	78552	Mm.289190	NR_024324	ENSMUSG00000044141	E130201H02Rik	-	Y box protein 1 pseudogene	pseudo
tal1_peak_288	chr11	80363371	80363411	+	167	NA	3' UTR (NM_027472, exon 10 of 10)	3' UTR (NM_027472, exon 10 of 10)	14624	NM_027472	70591	Mm.86860	NM_027472	ENSMUSG00000057181	5730455P16Rik	-	RIKEN cDNA 5730455P16 gene	protein-coding
tal1_peak_846	chr17	45562585	45562621	+	167	NA	3' UTR (NM_008690, exon 6 of 6)	3' UTR (NM_008690, exon 6 of 6)	-1333	NM_001357105	73836	Mm.289716	NM_028662	ENSMUSG00000037089	Slc35b2	1110003M08Rik|AA407792|AI842275|PAPST1|Slc35b1	solute carrier family 35, member B2	protein-coding
tal1_peak_1513	chr5	149247953	149248004	+	167	NA	Intergenic	7SLRNA|srpRNA|srpRNA	-17026	NM_001308462	11690	Mm.19844	NM_009663	ENSMUSG00000060063	Alox5ap	Flap	arachidonate 5-lipoxygenase activating protein	protein-coding
tal1_peak_447	chr13	12678880	12678921	+	167	NA	Intergenic	B1_Mus1|SINE|Alu	-28505	NR_003568	664862	Mm.415635	NR_003568		Gpr137b-ps	2310041G17Rik	G protein-coupled receptor 137B, pseudogene	pseudo
tal1_peak_272	chr11	70543597	70543637	+	167	NA	intron (NM_001361935, intron 9 of 23)	PB1D10|SINE|Alu	3345	NM_001302476	18806	Mm.260177	NM_008876	ENSMUSG00000020828	Pld2	PLD1C	phospholipase D2	protein-coding
tal1_peak_1574	chr6	87756494	87756534	+	165	NA	TTS (NM_001159697)	TTS (NM_001159697)	-21556	NM_018762	54368	Mm.12897	NM_018762	ENSMUSG00000030054	Gp9	Cd42|GPIX	glycoprotein 9 (platelet)	protein-coding
tal1_peak_1166	chr2	170253755	170253797	+	165	NA	Intergenic	B1F2|SINE|Alu	-59723	NR_157067	100502923	Mm.44078	NR_157067	ENSMUSG00000097514	Gm17619	-	predicted gene, 17619	ncRNA
tal1_peak_41	chr1	63355044	63355081	+	165	NA	Intergenic	B1_Mur4|SINE|Alu	81793	NM_001267872	73884	Mm.86986	NM_028673	ENSMUSG00000027520	Zdbf2	4930431J08Rik|9330107J05Rik	zinc finger, DBF-type containing 2	protein-coding
tal1_peak_186	chr10	78014082	78014118	+	165	NA	Intergenic	B1_Mus1|SINE|Alu	-4293	NM_008826	18641	Mm.269649	NM_008826	ENSMUSG00000020277	Pfkl	AA407869|ATP-PFK|PFK-B|PFK-L	phosphofructokinase, liver, B-type	protein-coding
tal1_peak_2050	chr9	40679828	40679868	+	162	NA	Intergenic	B1_Mus1|SINE|Alu	-6171	NM_133733	71566	Mm.280560	NM_133733	ENSMUSG00000032024	Clmp	9030425E11Rik|ACAM|ASP5|AW557819	CXADR-like membrane protein	protein-coding
tal1_peak_855	chr17	53316913	53316952	+	158	NA	Intergenic	L1Md_T|LINE|L1	146389	NM_172497	211482	Mm.60887	NM_172497	ENSMUSG00000023931	Efhb	4921525D22Rik	EF hand domain family, member B	protein-coding
tal1_peak_1879	chr8	122768546	122768592	+	155	NA	Intergenic	B1_Mus1|SINE|Alu	-5808	NR_151739	382036	Mm.132367	NR_151739		A530010L16Rik	BC032935|Gm1908|Gm45801	RIKEN cDNA A530010L16 gene	ncRNA
tal1_peak_1326	chr4	100582508	100582548	+	153	NA	Intergenic	PB1D11|SINE|Alu	103661	NM_001033773	381534	Mm.318133	NM_001033773	ENSMUSG00000069733	Ube2u	-	ubiquitin-conjugating enzyme E2U (putative)	protein-coding
tal1_peak_977	chr19	38813206	38813244	+	150	NA	intron (NM_021315, intron 5 of 20)	B1F|SINE|Alu	6012	NM_021315	57753	Mm.86482	NM_021315	ENSMUSG00000024999	Noc3l	AF233884|Fad24	NOC3 like DNA replication regulator	protein-coding
tal1_peak_1446	chr5	107311884	107311922	+	150	NA	Intergenic	L1_Mus3|LINE|L1	-19291	NM_054054	114642	Mm.182836	NM_054054	ENSMUSG00000029279	Brdt	7420412D09Rik|Brd6|Fsrg3	bromodomain, testis-specific	protein-coding
tal1_peak_1445	chr5	105831855	105831895	+	150	NA	Intergenic	B1_Mur2|SINE|Alu	-44693	NR_030777	54367	Mm.248876	NM_018759	ENSMUSG00000029290	Zfp326	5730470H14Rik|ZAN75|Znf326	zinc finger protein 326	protein-coding
tal1_peak_1182	chr3	8704292	8704327	+	150	NA	Intergenic	PB1|SINE|Alu	-37271	NM_010423	15213	Mm.29581	NM_010423	ENSMUSG00000040289	Hey1	AI316788|AI414254|CHF2|HRT1|Herp2|Hesr1|bHLHb31|hesr-1	hairy/enhancer-of-split related with YRPW motif 1	protein-coding
tal1_peak_1614	chr6	126351110	126351146	+	150	NA	Intergenic	L1MA4A|LINE|L1	-22442	NR_045480	100038574	Mm.399353	NR_045480	ENSMUSG00000107623	Gm10415	-	predicted gene 10415	ncRNA
tal1_peak_1599	chr6	117972433	117972470	+	150	NA	Intergenic	B1F|SINE|Alu	-35116	NM_001173372	108017	Mm.250392	NM_033648	ENSMUSG00000004988	Fxyd4	0610008I02Rik|AI267073|Chif	FXYD domain-containing ion transport regulator 4	protein-coding
tal1_peak_2427	chrX	151139896	151139938	+	150	NA	Intergenic	PB1D7|SINE|Alu	-43374	NM_001164578	69499	Mm.8142	NM_175146	ENSMUSG00000025264	Tsr2	2310007F12Rik	TSR2 20S rRNA accumulation	protein-coding
tal1_peak_586	chr14	26488911	26488947	+	150	NA	intron (NM_032008, intron 1 of 22)	B1_Mus1|SINE|Alu	45695	NM_032008	83997	Mm.36769	NM_032008	ENSMUSG00000021870	Slmap	D330001L02Rik|Miranda|Slap|mKIAA1601	sarcolemma associated protein	protein-coding
tal1_peak_2084	chr9	78231359	78231394	+	148	NA	intron (NM_008181, intron 1 of 6)	B1_Mus1|SINE|Alu	707	NM_008181	14857	Mm.467426	NM_008181	ENSMUSG00000074183	Gsta1	Gst2-1	glutathione S-transferase, alpha 1 (Ya)	protein-coding
tal1_peak_2410	chrX	104737215	104737250	+	148	NA	Intergenic	PB1|SINE|Alu	-66168	NM_175358	108672	Mm.30574	NM_175358	ENSMUSG00000033906	Zdhhc15	6030457O13Rik	zinc finger, DHHC domain containing 15	protein-coding
tal1_peak_133	chr10	8959806	8959844	+	148	NA	Intergenic	ID_B1|SINE|B4	-73755	NM_175155	70097	Mm.338275	NM_175155	ENSMUSG00000015305	Sash1	1100001C18Rik|2500002E12Rik|A330076K04Rik|mKIAA0790	SAM and SH3 domain containing 1	protein-coding
tal1_peak_2343	chrX	12399041	12399079	+	148	NA	Intergenic	ID_B1|SINE|B4	-44064	NR_045321	100043946	Mm.211985	NR_045321	ENSMUSG00000087591	Gm14635	-	predicted gene 14635	ncRNA
tal1_peak_232	chr11	20452244	20452285	+	148	NA	Intergenic	PB1|SINE|Alu	-90902	NM_001362867	58172	Mm.339676	NM_021372	ENSMUSG00000049800	Sertad2	AB041541|AU021878|Kiaa0127|MNCb-1504|SEI-2|Sei2|TRIP-Br2|mKIAA0127	SERTA domain containing 2	protein-coding
tal1_peak_1336	chr4	120800594	120800628	+	148	NA	intron (NM_001048168, intron 1 of 9)	PB1|SINE|Alu	15102	NM_001357192	18046	Mm.318389	NM_008692	ENSMUSG00000032897	Nfyc	-	nuclear transcription factor-Y gamma	protein-coding
tal1_peak_20	chr1	37263030	37263067	+	148	NA	3' UTR (NM_009918, exon 6 of 6)	3' UTR (NM_009918, exon 6 of 6)	-36790	NM_001290797	269180	Mm.5294	NM_030266	ENSMUSG00000026113	Inpp4a	107kDa|9630012D15|D130048C09Rik|R74740	inositol polyphosphate-4-phosphatase, type I	protein-coding
tal1_peak_1644	chr7	23891065	23891104	+	148	NA	Intergenic	B1_Mus2|SINE|Alu	-2445	NM_206868	232959	Mm.377248	NM_206868	ENSMUSG00000062598	Vmn1r178	Gm473|V1rd13	vomeronasal 1 receptor 178	protein-coding
tal1_peak_2058	chr9	56895207	56895245	+	148	NA	intron (NM_139001, intron 8 of 9)	PB1|SINE|Alu	30122	NM_139001	121021	Mm.41329	NM_139001	ENSMUSG00000032911	Cspg4	4732461B14Rik|AN2|NG2	chondroitin sulfate proteoglycan 4	protein-coding
tal1_peak_2365	chrX	52961686	52961996	+	148	NA	Intergenic	RMER17A2|LTR|ERVK	-26237	NM_013556	15452	Mm.299381	NM_013556	ENSMUSG00000025630	Hprt	C81579|HPGRT|Hprt1	hypoxanthine guanine phosphoribosyl transferase	protein-coding
tal1_peak_720	chr16	4488754	4488796	+	148	NA	intron (NM_175347, intron 4 of 6)	PB1|SINE|Alu	34291	NM_001347162	106393	Mm.35811	NM_175347	ENSMUSG00000022519	Srl	9830004M20Rik|AW108387|sar	sarcalumenin	protein-coding
tal1_peak_185	chr10	77615017	77615051	+	148	NA	intron (NM_001301672, intron 3 of 3)	B1_Mus1|SINE|Alu	1325	NR_125903	20610	Mm.24433	NM_019929	ENSMUSG00000020265	Sumo3	2810014B19Rik|D10Ertd345e|SMT3A|SUMO-3|Smt3h1	small ubiquitin-like modifier 3	protein-coding
tal1_peak_1346	chr4	128987903	128987937	+	148	NA	Intergenic	PB1|SINE|Alu	-5304	NR_138540	11637	Mm.29460	NM_016895	ENSMUSG00000028792	Ak2	Ak-2|D4Ertd220e	adenylate kinase 2	protein-coding
tal1_peak_1575	chr6	87860188	87860227	+	148	NA	Intergenic	B1_Mm|SINE|Alu	-9101	NM_001355195	12785	Mm.290251	NM_013493	ENSMUSG00000030057	Cnbp	AA408710|Cnbp1|Znf9	cellular nucleic acid binding protein	protein-coding
tal1_peak_1392	chr5	20794996	20795036	+	148	NA	intron (NM_172992, intron 7 of 17)	B1_Mus2|SINE|Alu	87108	NM_172992	68770	Mm.86410	NM_172992	ENSMUSG00000039987	Phtf2	1110054G21Rik|9530062N20Rik|AI447096|C77923	putative homeodomain transcription factor 2	protein-coding
tal1_peak_882	chr17	84236320	84236358	+	148	NA	intron (NM_183021, intron 31 of 37)	PB1D9|SINE|Alu	-48392	NM_001001806	12193	Mm.259321	NM_001001806	ENSMUSG00000045817	Zfp36l2	Brf2|ERF2|Tis11d	zinc finger protein 36, C3H type-like 2	protein-coding
tal1_peak_1042	chr2	33684308	33684347	+	148	NA	Intergenic	PB1|SINE|Alu	43134	NR_046275	100504399	Mm.72070	NM_177842		C130021I20Rik	-	Riken cDNA C130021I20 gene	ncRNA
tal1_peak_821	chr17	19572048	19572087	+	148	NA	Intergenic	B1_Mus1|SINE|Alu	-5164	NM_001104563	627576	Mm.469857	NM_001104563	ENSMUSG00000094892	Vmn2r101	EG627576	vomeronasal 2, receptor 101	protein-coding
tal1_peak_608	chr14	48587501	48587537	+	148	NA	Intergenic	B1F|SINE|Alu	75215	NM_144841	18424	Mm.134516	NM_144841	ENSMUSG00000021848	Otx2	E130306E05Rik	orthodenticle homeobox 2	protein-coding
tal1_peak_1112	chr2	119650389	119650427	+	148	NA	TTS (NM_001042652)	TTS (NM_001042652)	12426	NM_001356467	69702	Mm.5390	NM_027175	ENSMUSG00000027305	Ndufaf1	2410001M24Rik|CGI-65|CIA30	NADH:ubiquinone oxidoreductase complex assembly factor 1	protein-coding
tal1_peak_299	chr11	87868904	87868943	+	148	NA	intron (NM_007946, intron 9 of 12)	PB1D11|SINE|Alu	6613	NM_007946	13861	Mm.1315	NM_007946	ENSMUSG00000052234	Epx	EPO	eosinophil peroxidase	protein-coding
tal1_peak_2052	chr9	48816071	48816108	+	148	NA	intron (NM_001033324, intron 2 of 6)	PB1D7|SINE|Alu	19852	NM_001033324	235320	Mm.457803	NM_001033324	ENSMUSG00000066687	Zbtb16	AI467657|PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding
tal1_peak_255	chr11	54399176	54399212	+	148	NA	intron (NM_029105, intron 8 of 13)	PB1|SINE|Alu	28542	NM_029105	74847	Mm.486538	NM_029105	ENSMUSG00000020332	Meikin	4930404A10Rik	meiotic kinetochore factor	protein-coding
tal1_peak_1120	chr2	126691668	126691703	+	148	NA	Intergenic	PB1D11|SINE|Alu	-15348	NM_001271470	14391	Mm.293266	NM_010249	ENSMUSG00000027361	Gabpb1	BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4Tf1B|GABPB|GABPB-1|GABPB-2|GABPB1-1|GABPB1-2|NRF2B1|NRF2B2	GA repeat binding protein, beta 1	protein-coding
tal1_peak_2070	chr9	64131174	64131213	+	148	NA	intron (NM_145835, intron 9 of 13)	B1_Mur4|SINE|Alu	14046	NM_145835	235435	Mm.436581	NM_145835	ENSMUSG00000032401	Lctl	E130104I05Rik|KLPH	lactase-like	protein-coding
tal1_peak_1647	chr7	27311027	27311063	+	148	NA	TTS (NM_001310678)	TTS (NM_001310678)	22603	NM_001113549	108075	Mm.272251	NM_175641	ENSMUSG00000040488	Ltbp4	2310046A13Rik	latent transforming growth factor beta binding protein 4	protein-coding
tal1_peak_1579	chr6	88228151	88228188	+	148	NA	Intergenic	PB1|SINE|Alu	5901	NM_019964	56691	Mm.272871	NM_019964	ENSMUSG00000048206	Dnajb8	1700016F14Rik|1700031F10Rik|AI326313|mDj6	DnaJ heat shock protein family (Hsp40) member B8	protein-coding
tal1_peak_52	chr1	74734415	74734450	+	148	NA	intron (NM_024264, intron 2 of 8)	ID_B1|SINE|B4	14523	NM_153744	241113	Mm.166501	NM_153744	ENSMUSG00000006542	Prkag3	AMPKg3L|AMPKg3S|Amkg3|Ampkg3	protein kinase, AMP-activated, gamma 3 non-catalytic subunit	protein-coding
tal1_peak_607	chr14	48518205	48518244	+	148	NA	Intergenic	B1F|SINE|Alu	71872	NR_132324	218989	Mm.85211	NM_172600	ENSMUSG00000036339	Tmem260	5930435P15|6720456H20Rik	transmembrane protein 260	protein-coding
tal1_peak_1313	chr4	77077456	77077498	+	148	NA	intron (NR_160919, intron 7 of 39)	B1_Mus1|SINE|Alu	-733234	NM_001368993	19266	Mm.184021	NM_011211	ENSMUSG00000028399	Ptprd	1110002J03Rik|3000002J10Rik|B230219D21Rik|R-PTP-delta	protein tyrosine phosphatase, receptor type, D	protein-coding
tal1_peak_1772	chr8	22047161	22047201	+	148	NA	intron (NM_007511, intron 1 of 20)	L1_Rod|LINE|L1	12893	NM_007511	11979	Mm.87854	NM_007511	ENSMUSG00000006567	Atp7b	Atp7a|WND|tx	ATPase, Cu++ transporting, beta polypeptide	protein-coding
tal1_peak_1114	chr2	121360289	121360324	+	148	NA	intron (NM_009897, intron 3 of 8)	PB1D7|SINE|Alu	1696	NM_009897	12716	Mm.252145	NM_009897	ENSMUSG00000000308	Ckmt1	Mt-CK|ScCKmit|U-MtCK|UbCKmit|mi-CK|mia-CK	creatine kinase, mitochondrial 1, ubiquitous	protein-coding
tal1_peak_1456	chr5	114321284	114321324	+	148	NA	intron (NM_001164573, intron 5 of 31)	B1_Mus1|SINE|Alu	32051	NM_001164573	231646	Mm.238285	NM_146163	ENSMUSG00000066952	Myo1h	4631401O15Rik	myosin 1H	protein-coding
tal1_peak_417	chr12	96375450	96375489	+	148	NA	Intergenic	L1_Mus3|LINE|L1	-328247	NR_103800	69423	Mm.46121	NM_027076		1700019M22Rik	-	NFX-like protein	pseudo
tal1_peak_1272	chr4	8519261	8519299	+	148	NA	Intergenic	B1_Mus1|SINE|Alu	-16364	NM_021518	59021	Mm.397471	NM_021518	ENSMUSG00000047187	Rab2a	9330148M11Rik|C80220|Rab2	RAB2A, member RAS oncogene family	protein-coding
tal1_peak_1801	chr8	61285527	61285564	+	146	NA	intron (NR_045475, intron 1 of 4)	B1F2|SINE|Alu	3327	NR_045475	69279	Mm.417857	NR_045475	ENSMUSG00000099419	1700001D01Rik	-	RIKEN cDNA 1700001D01 gene	ncRNA
tal1_peak_1729	chr7	130834523	130834557	+	144	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	-31184	NM_001346515	101476	Mm.323554	NM_133942	ENSMUSG00000040268	Plekha1	AA960558|C920009D07Rik|TAPP1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	protein-coding
tal1_peak_487	chr13	55586342	55586377	+	139	NA	Intergenic	PB1|SINE|Alu	-6776	NM_026211	67511	Mm.45233	NM_026211	ENSMUSG00000058569	Tmed9	2400003B06Rik	transmembrane p24 trafficking protein 9	protein-coding
tal1_peak_1064	chr2	71147463	71147499	+	135	NA	Intergenic	PB1D7|SINE|Alu	29427	NM_028593	73649	Mm.45435	NM_028593	ENSMUSG00000027015	Cybrd1	2210407P13Rik|Dcytb	cytochrome b reductase 1	protein-coding
tal1_peak_948	chr18	86042504	86042539	+	135	NA	Intergenic	B1_Mus2|SINE|Alu	-352431	NM_001360910	246317	Mm.329578	NM_144946	ENSMUSG00000050321	Neto1	AI851453|Btcl1|C130005O10Rik	neuropilin (NRP) and tolloid (TLL)-like 1	protein-coding
tal1_peak_914	chr18	33936310	33936348	+	135	NA	intron (NM_013512, intron 2 of 23)	B1F|SINE|Alu	70877	NM_013512	13824	Mm.3465	NM_013512	ENSMUSG00000024376	Epb41l4a	Epb4.1l4|Epb4.1l4a|NBL4	erythrocyte membrane protein band 4.1 like 4a	protein-coding
tal1_peak_937	chr18	65427767	65427801	+	135	NA	intron (NR_105742, intron 3 of 6)	7SLRNA|srpRNA|srpRNA	-3206	NM_001365019	240354	Mm.132613	NM_172833	ENSMUSG00000032688	Malt1	A630046N12|D430033E09Rik|Pcasp1	MALT1 paracaspase	protein-coding
tal1_peak_350	chr12	3303284	3303320	+	130	NA	intron (NM_016676, intron 1 of 5)	PB1D11|SINE|Alu	6667	NM_016676	19325	Mm.378993	NM_016676	ENSMUSG00000020671	Rab10	AW107754	RAB10, member RAS oncogene family	protein-coding
tal1_peak_1240	chr3	110076925	110076964	+	130	NA	intron (NM_030699, intron 2 of 7)	B1_Mm|SINE|Alu	66528	NM_001163350	80883	Mm.39262	NM_030699	ENSMUSG00000059857	Ntng1	A930010C08Rik|AI853992|Lmnt1	netrin G1	protein-coding
tal1_peak_1501	chr5	144008182	144008217	+	130	NA	intron (NM_177682, intron 6 of 14)	B1F|SINE|Alu	6654	NM_177682	231874	Mm.320432	NM_177682	ENSMUSG00000029617	Ccz1	AU022870	CCZ1 vacuolar protein trafficking and biogenesis associated	protein-coding
tal1_peak_781	chr16	90034906	90034940	+	130	NA	Intergenic	B1F|SINE|Alu	-60224	NM_001145886	21844	Mm.310902	NM_009384	ENSMUSG00000002489	Tiam1	AI847750|D16Ium10|D16Ium10e	T cell lymphoma invasion and metastasis 1	protein-coding
tal1_peak_1158	chr2	167168529	167168563	+	130	NA	intron (NM_008420, intron 1 of 1)	ID_B1|SINE|B4	20272	NM_008420	16500	Mm.205341	NM_008420	ENSMUSG00000050556	Kcnb1	Kcr1-1|Kv2.1|Shab	potassium voltage gated channel, Shab-related subfamily, member 1	protein-coding
tal1_peak_1457	chr5	114636760	114636795	+	130	NA	intron (NM_022017, intron 3 of 15)	PB1D10|SINE|Alu	21644	NM_022017	63873	Mm.266450	NM_022017	ENSMUSG00000014158	Trpv4	0610033B08Rik|OTRPC4|Trp12|VR-OAC|VRL-2|VROAC	transient receptor potential cation channel, subfamily V, member 4	protein-coding
tal1_peak_1394	chr5	21522475	21522513	+	130	NA	intron (NM_177076, intron 15 of 19)	B1F|SINE|Alu	-21033	NM_028977	74511	Mm.439963	NM_028977	ENSMUSG00000039883	Lrrc17	37kDa|4833425M04Rik|6130400C22Rik|P37nb	leucine rich repeat containing 17	protein-coding
tal1_peak_2095	chr9	102684403	102684438	+	130	NA	Intergenic	ID_B1|SINE|B4	-33384	NM_019764	56332	Mm.21145	NM_019764	ENSMUSG00000032531	Amotl2	AW549739|C79691|Lccp|MASCOT|mKIAA0989	angiomotin-like 2	protein-coding
tal1_peak_483	chr13	53905935	53905972	+	130	NA	Intergenic	L1_Mur3|LINE|L1	9795	NR_152124	78550	Mm.160095	NR_152124		E130119H09Rik	-	RIKEN cDNA E130119H09 gene	ncRNA
tal1_peak_1422	chr5	66896487	66896525	+	130	NA	intron (NM_001368863, intron 3 of 25)	PB1|SINE|Alu	39037	NM_001368863	77569	Mm.374778	NM_001001980	ENSMUSG00000037736	Limch1	3732412D22Rik|mKIAA1102	LIM and calponin homology domains 1	protein-coding
tal1_peak_171	chr10	62362007	62362050	+	130	NA	intron (NM_010438, intron 2 of 21)	B1F|SINE|Alu	17880	NM_010438	15275	Mm.196605	NM_010438	ENSMUSG00000037012	Hk1	BB404130|Hk-1|Hk1-s|dea|mHk1-s	hexokinase 1	protein-coding
tal1_peak_897	chr18	12341058	12341093	+	130	NA	intron (NM_010680, intron 1 of 74)	Lx3_Mus|LINE|L1	7141	NM_010680	16774	Mm.42012	NM_010680	ENSMUSG00000024421	Lama3	Lama3B|[a]3B	laminin, alpha 3	protein-coding
tal1_peak_146	chr10	24819189	24819226	+	130	NA	intron (NM_134005, intron 5 of 24)	PB1|SINE|Alu	16988	NM_134005	209558	Mm.338425	NM_134005	ENSMUSG00000019989	Enpp3	AI876438|CD203c	ectonucleotide pyrophosphatase/phosphodiesterase 3	protein-coding
tal1_peak_3	chr1	9805445	9805484	+	130	NA	intron (NM_177547, intron 1 of 16)	B1F|SINE|Alu	7334	NM_133220	170755	Mm.336410	NM_133220	ENSMUSG00000025915	Sgk3	2510015P22Rik|A330005P07Rik|Cisk|fy|fz	serum/glucocorticoid regulated kinase 3	protein-coding
tal1_peak_1159	chr2	167194803	167194838	+	130	NA	Intergenic	PB1D11|SINE|Alu	-6002	NM_008420	16500	Mm.205341	NM_008420	ENSMUSG00000050556	Kcnb1	Kcr1-1|Kv2.1|Shab	potassium voltage gated channel, Shab-related subfamily, member 1	protein-coding
tal1_peak_1280	chr4	33495877	33495912	+	130	NA	intron (NM_001305273, intron 14 of 15)	B1F|SINE|Alu	57813	NR_106198	102465904		NR_106198	ENSMUSG00000098310	Mir8118	Gm27954|mmu-mir-8118	microRNA 8118	ncRNA
tal1_peak_1622	chr6	142508349	142508389	+	130	NA	promoter-TSS (NM_001316322)	promoter-TSS (NM_001316322)	-412	NM_001302765	16832	Mm.9745	NM_008492	ENSMUSG00000030246	Ldhb	AI790582|H-Ldh|LDH-B|LDH-H|Ldh-2|Ldh2	lactate dehydrogenase B	protein-coding
tal1_peak_688	chr15	79437392	79437427	+	130	NA	intron (NM_001359862, intron 2 of 10)	7SLRNA|srpRNA|srpRNA	4409	NM_001289899	27373	Mm.30199	NM_013767	ENSMUSG00000022433	Csnk1e	AI426939|AI551861|AW457082|CK1epsilon|CKIe|KC1epsilon|tau	casein kinase 1, epsilon	protein-coding
tal1_peak_823	chr17	24318871	24318906	+	130	NA	intron (NM_001031621, intron 9 of 30)	PB1D10|SINE|Alu	32171	NM_001031621	381072	Mm.328842	NM_001031621	ENSMUSG00000035435	Abca17	-	ATP-binding cassette, sub-family A (ABC1), member 17	protein-coding
tal1_peak_430	chr12	111139973	111140006	+	130	NA	Intergenic	B1F|SINE|Alu	-26381	NM_011632	22031	Mm.27431	NM_011632	ENSMUSG00000021277	Traf3	AI528849|CAP-1|CD40bp|CRAF1|LAP1|T-BAM|TRAFAMN|amn	TNF receptor-associated factor 3	protein-coding
