PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_12	chr1	39438766	39438943	+	129	NA	intron (NM_001357522, intron 1 of 18)	RMER15|LTR|ERVL	39893	NM_018775	54610	Mm.387293	NM_018775	ENSMUSG00000003134	Tbc1d8	AD3|HBLP1|VRP	TBC1 domain family, member 8	protein-coding
lmo2_peak_1569	chr7	135593916	135594152	+	129	NA	intron (NM_001316680, intron 1 of 20)	intron (NM_001316680, intron 1 of 20)	553	NM_001316680	19267	Mm.945	NM_011212	ENSMUSG00000041836	Ptpre	PTPe|PTPepsilon|RPTPepsilon	protein tyrosine phosphatase, receptor type, E	protein-coding
lmo2_peak_1151	chr4	6337325	6337588	+	129	NA	Intergenic	MLTR18_MM|LTR|ERVK	-28224	NM_001098227	53378	Mm.247473	NM_016807	ENSMUSG00000028249	Sdcbp	MDA-9|Sycl|syntenin-1	syndecan binding protein	protein-coding
lmo2_peak_286	chr11	87471404	87471603	+	129	NA	intron (NM_031386, intron 2 of 30)	U3|snRNA|snRNA	43912	NM_001199293	83560	Mm.440758	NM_031386	ENSMUSG00000010342	Tex14	C85585	testis expressed gene 14	protein-coding
lmo2_peak_1447	chr6	88915530	88915785	+	128	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	13406	NM_011906	24100	Mm.284480	NM_011906	ENSMUSG00000002871	Tpra1	40kDa|Gpr175|Tpra40	transmembrane protein, adipocyte asscociated 1	protein-coding
lmo2_peak_1377	chr5	143434407	143434598	+	128	NA	Intergenic	RLTR30D2_MM|LTR|ERV1	-29991	NM_144915	231871	Mm.469963	NM_144915	ENSMUSG00000039206	Daglb	E330036I19Rik	diacylglycerol lipase, beta	protein-coding
lmo2_peak_1215	chr4	115546209	115546469	+	127	NA	Intergenic	Intergenic	-17310	NM_001252539	666168	Mm.482086	NM_201640	ENSMUSG00000028712	Cyp4a31	-	cytochrome P450, family 4, subfamily a, polypeptide 31	protein-coding
lmo2_peak_1612	chr8	25445132	25445339	+	126	NA	Intergenic	Intergenic	-73524	NM_001079909	14182	Mm.265716	NM_010206	ENSMUSG00000031565	Fgfr1	AW208770|Eask|FGFR-I|FLG|Fgfr-1|Flt-2|Fr1|Hspy|MFR|bFGF-R-1|c-fgr	fibroblast growth factor receptor 1	protein-coding
lmo2_peak_80	chr1	167830365	167830576	+	126	NA	intron (NM_033652, intron 3 of 7)	intron (NM_033652, intron 3 of 7)	140912	NM_033652	110648	Mm.330081	NM_033652	ENSMUSG00000026686	Lmx1a	Lmx1.1|dr|dreher|sst	LIM homeobox transcription factor 1 alpha	protein-coding
lmo2_peak_1610	chr8	25371373	25371548	+	126	NA	Intergenic	Intergenic	-65190	NR_040352	74489	Mm.256468	NR_040352	ENSMUSG00000110140	5430421F17Rik	-	RIKEN cDNA 5430421F17 gene	ncRNA
lmo2_peak_188	chr10	115586224	115586487	+	123	NA	intron (NM_010195, intron 1 of 17)	intron (NM_010195, intron 1 of 17)	1425	NM_010195	14160	Mm.42103	NM_010195	ENSMUSG00000020140	Lgr5	FEX|Gpr49	leucine rich repeat containing G protein coupled receptor 5	protein-coding
lmo2_peak_1541	chr7	109790290	109790604	+	122	NA	Intergenic	B4A|SINE|B4	-8902	NM_020610	78593	Mm.275374	NM_020610	ENSMUSG00000034825	Nrip3	A330103B05Rik|D7H11orf14|ICRFP703B1614Q5.2	nuclear receptor interacting protein 3	protein-coding
lmo2_peak_11	chr1	39396423	39396623	+	122	NA	intron (NM_001357522, intron 5 of 18)	intron (NM_001357522, intron 5 of 18)	28672	NM_001252218	114641	Mm.379302	NM_053257	ENSMUSG00000073702	Rpl31	Dts	ribosomal protein L31	protein-coding
lmo2_peak_1180	chr4	53796887	53797188	+	118	NA	Intergenic	Intergenic	17336	NM_009317	21350	Mm.56955	NM_009317	ENSMUSG00000028417	Tal2	bHLHa19	T cell acute lymphocytic leukemia 2	protein-coding
lmo2_peak_527	chr14	32168945	32169170	+	118	NA	intron (NM_019744, intron 1 of 9)	intron (NM_019744, intron 1 of 9)	3268	NM_019744	27057	Mm.371598	NM_019744	ENSMUSG00000056234	Ncoa4	ARA70|Rfg	nuclear receptor coactivator 4	protein-coding
lmo2_peak_501	chr13	108315709	108316032	+	118	NA	promoter-TSS (NM_178683)	promoter-TSS (NM_178683)	-467	NM_178683	218581	Mm.32318	NM_178683	ENSMUSG00000021697	Depdc1b	9830132O03|AW260467|XTP1	DEP domain containing 1B	protein-coding
lmo2_peak_600	chr15	59197844	59198058	+	118	NA	Intergenic	Intergenic	-108997	NR_045613	100416830	Mm.490788	NR_045613	ENSMUSG00000098528	Zfp572	4930472F24Rik	zinc finger protein 572	pseudo
lmo2_peak_1643	chr8	64337376	64337674	+	118	NA	Intergenic	Intergenic	-131517	NM_009390	21892	Mm.418367	NM_009390	ENSMUSG00000053626	Tll1	Tll|Tll-1|b2b2476Clo	tolloid-like	protein-coding
lmo2_peak_594	chr15	56627454	56627737	+	118	NA	Intergenic	Intergenic	-62349	NR_002874	594843	Mm.484850	NR_002874	ENSMUSG00000086541	Has2os	EG594843|Has2as|Hasnt	hyaluronan synthase 2, opposite strand	ncRNA
lmo2_peak_1238	chr4	130890290	130890549	+	118	NA	Intergenic	Intergenic	-22897	NM_010686	16792	Mm.271868	NM_010686	ENSMUSG00000028581	Laptm5	E3|Stra13	lysosomal-associated protein transmembrane 5	protein-coding
lmo2_peak_1163	chr4	32862630	32862845	+	118	NA	intron (NM_001012451, intron 1 of 15)	intron (NM_001012451, intron 1 of 15)	1796	NM_001355587	140577	Mm.214766	NM_080471	ENSMUSG00000040183	Ankrd6	-	ankyrin repeat domain 6	protein-coding
lmo2_peak_23	chr1	71681308	71681507	+	118	NA	Intergenic	Intergenic	28072	NR_040308	100042814	Mm.405775	NR_040308	ENSMUSG00000073652	Apol7d	Gm15456	apolipoprotein L 7d	ncRNA
lmo2_peak_222	chr11	29815279	29815577	+	118	NA	intron (NM_146016, intron 16 of 41)	intron (NM_146016, intron 16 of 41)	10240	NM_176829	216622	Mm.443260	NM_176829	ENSMUSG00000078157	4931440F15Rik	Fem1ab	RIKEN cDNA 4931440F15 gene	protein-coding
lmo2_peak_293	chr11	96410498	96410763	+	118	NA	Intergenic	Intergenic	44872	NM_008266	15407	Mm.890	NM_008266	ENSMUSG00000018973	Hoxb1	Hox-2.9	homeobox B1	protein-coding
lmo2_peak_32	chr1	75771230	75771508	+	118	NA	Intergenic	Intergenic	224907	NM_001357150	20536	Mm.5053	NM_009208	ENSMUSG00000006576	Slc4a3	A930038D23Rik|Ae3	solute carrier family 4 (anion exchanger), member 3	protein-coding
lmo2_peak_1297	chr5	31083180	31083600	+	118	NA	Intergenic	Intergenic	10137	NM_011773	22784	Mm.1396	NM_011773	ENSMUSG00000029151	Slc30a3	Znt3	solute carrier family 30 (zinc transporter), member 3	protein-coding
lmo2_peak_607	chr15	66826216	66826456	+	118	NA	intron (NM_009192, intron 1 of 8)	intron (NM_009192, intron 1 of 8)	5493	NM_001029841	20491	Mm.7601	NM_009192	ENSMUSG00000022372	Sla	Slap|Slap-1	src-like adaptor	protein-coding
lmo2_peak_398	chr12	111435147	111435418	+	118	NA	Intergenic	Intergenic	-7379	NM_009396	21928	Mm.255332	NM_009396	ENSMUSG00000021281	Tnfaip2	B94|Exoc3l3|M-sec|Tnfip2|tnfb94	tumor necrosis factor, alpha-induced protein 2	protein-coding
lmo2_peak_1302	chr5	36721111	36721307	+	118	NA	Intergenic	Intergenic	-25188	NM_001081232	320661	Mm.26480	NM_177221	ENSMUSG00000029190	D5Ertd579e	9030221A05Rik|A930018H20Rik|Kiaa0232	DNA segment, Chr 5, ERATO Doi 579, expressed	protein-coding
lmo2_peak_847	chr18	81429962	81430226	+	118	NA	Intergenic	ORR1D2|LTR|ERVL-MaLR	-443073	NM_001369133	20689	Mm.215917	NM_178280	ENSMUSG00000024565	Sall3	B130022O04Rik|Msal|Msal-1|Sal|Salt|Spalt	spalt like transcription factor 3	protein-coding
lmo2_peak_1477	chr6	134189794	134190141	+	118	NA	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	154267	NM_001303102	14011	Mm.269995	NM_007961	ENSMUSG00000030199	Etv6	AW123102|AW557856|Tel	ets variant 6	protein-coding
lmo2_peak_641	chr15	97590804	97591044	+	118	NA	Intergenic	Intergenic	114898	NM_028003	71919	Mm.12255	NM_028003	ENSMUSG00000022466	Rpap3	2310042P20Rik|D15Ertd682e	RNA polymerase II associated protein 3	protein-coding
lmo2_peak_304	chr11	101645709	101645874	+	118	NA	Intergenic	U2|snRNA|snRNA	17842	NM_025654	66599	Mm.41449	NM_025654	ENSMUSG00000010362	Rdm1	2410008M22Rik|AW212028|Rad52b	RAD52 motif 1	protein-coding
lmo2_peak_671	chr16	31550091	31550356	+	118	NA	Intergenic	Intergenic	-67910	NM_001357871	224098	Mm.125439	NM_001357870		Gm536	Gm1777	predicted gene 536	protein-coding
lmo2_peak_1262	chr4	141882872	141883163	+	118	NA	Intergenic	Intergenic	-8097	NM_025994	27984	Mm.395598	NM_025994	ENSMUSG00000040659	Efhd2	2600015J22Rik|AA408606|D4Wsu27e	EF hand domain containing 2	protein-coding
lmo2_peak_1125	chr3	115641481	115641743	+	118	NA	Intergenic	Lx8|LINE|L1	73443	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
lmo2_peak_1146	chr3	146127228	146127591	+	118	NA	intron (NM_134160, intron 2 of 11)	intron (NM_134160, intron 2 of 11)	5618	NM_134160	171166	Mm.114683	NM_134160	ENSMUSG00000036853	Mcoln3	6720490O21Rik|TRPML3|Va	mucolipin 3	protein-coding
lmo2_peak_1080	chr3	37758261	37758431	+	118	NA	Intergenic	Intergenic	-33986	NM_198657	381438	Mm.490549	NM_198657	ENSMUSG00000058174	Gm5148	EG381438	predicted gene 5148	protein-coding
lmo2_peak_101	chr1	190168948	190169214	+	118	NA	intron (NM_008937, intron 1 of 4)	intron (NM_008937, intron 1 of 4)	434	NM_001360827	19130	Mm.132579	NM_008937	ENSMUSG00000010175	Prox1	A230003G05Rik|PROX-1	prospero homeobox 1	protein-coding
lmo2_peak_1061	chr2	172260070	172260291	+	118	NA	Intergenic	Intergenic	11688	NM_008561	17201	Mm.57183	NM_008561	ENSMUSG00000038537	Mc3r	MC3-R	melanocortin 3 receptor	protein-coding
lmo2_peak_550	chr14	64055336	64055557	+	118	NA	Intergenic	Intergenic	29964	NM_001081063	71037	Mm.19977	NM_001081063	ENSMUSG00000034623	Prss55	4933401F05Rik	protease, serine 55	protein-coding
lmo2_peak_963	chr2	73828407	73828580	+	118	NA	exon (NM_009715, exon 12 of 14)	exon (NM_009715, exon 12 of 14)	-53147	NM_001166603	108699	Mm.257073	NM_029716	ENSMUSG00000056486	Chn1	0610007I19Rik|0710001E19Rik|1700112L09Rik|2900046J01Rik|AI413815|ARHGAP2	chimerin 1	protein-coding
lmo2_peak_854	chr19	7018092	7018377	+	118	NA	intron (NM_001362399, intron 2 of 14)	intron (NM_001362399, intron 2 of 14)	1235	NM_001362399	108101	Mm.157591	NM_153795	ENSMUSG00000024965	Fermt3	C79673|Kindlin3	fermitin family member 3	protein-coding
lmo2_peak_972	chr2	75792021	75792225	+	118	NA	Intergenic	L1MC5|LINE|L1	-40054	NM_172666	228061	Mm.31227	NM_172666	ENSMUSG00000042410	Agps	5832437L22|9930035G10Rik|AW123847|Adaps|Adas|Adhaps|Adps|Aldhpsy|bs2	alkylglycerone phosphate synthase	protein-coding
lmo2_peak_584	chr15	34983344	34983537	+	118	NA	intron (NM_019635, intron 8 of 10)	intron (NM_019635, intron 8 of 10)	145391	NM_001271704	16539	Mm.71045	NM_181317	ENSMUSG00000050963	Kcns2	E130006J24Rik|Kv9.2	K+ voltage-gated channel, subfamily S, 2	protein-coding
lmo2_peak_928	chr2	26583632	26583869	+	118	NA	promoter-TSS (NM_198724)	promoter-TSS (NM_198724)	-115	NM_198724	353156	Mm.268933	NM_178444	ENSMUSG00000026921	Egfl7	VE-statin|Zneu1	EGF-like domain 7	protein-coding
lmo2_peak_1567	chr7	134287698	134288101	+	118	NA	intron (NM_001081331, intron 5 of 7)	intron (NM_001081331, intron 5 of 7)	-62802	NM_007400	11489	Mm.439714	NM_007400	ENSMUSG00000054555	Adam12	Mltna	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	protein-coding
lmo2_peak_1436	chr6	84327980	84328266	+	118	NA	Intergenic	Intergenic	95715	NR_046063	100038556	Mm.387783	NR_046063	ENSMUSG00000107797	Gm10445	-	predicted gene 10445	ncRNA
lmo2_peak_1346	chr5	119484120	119484347	+	118	NA	Intergenic	Intergenic	96125	NR_045702	100993	Mm.381453	NR_045702	ENSMUSG00000087516	AW549542	-	expressed sequence AW549542	ncRNA
lmo2_peak_638	chr15	95880644	95880821	+	117	NA	intron (NM_175344, intron 2 of 19)	intron (NM_175344, intron 2 of 19)	-50660	NR_155276	102634389	Mm.440563	NR_155276	ENSMUSG00000078648	LOC102634389	-	uncharacterized LOC102634389	ncRNA
lmo2_peak_1687	chr8	94899271	94899461	+	117	NA	Intergenic	Intergenic	18732	NM_001033533	234582	Mm.277871	NM_001033533	ENSMUSG00000063605	Ccdc102a	BC027663|Gm586	coiled-coil domain containing 102A	protein-coding
lmo2_peak_452	chr13	53979210	53979408	+	117	NA	Intergenic	Intergenic	-63561	NR_152124	78550	Mm.160095	NR_152124		E130119H09Rik	-	RIKEN cDNA E130119H09 gene	ncRNA
lmo2_peak_1237	chr4	130715193	130715428	+	117	NA	intron (NM_001356566, intron 3 of 17)	intron (NM_001356566, intron 3 of 17)	-34328	NR_028565	100217460		NR_028565	ENSMUSG00000065196	Snord85	MBII-251|Z50	small nucleolar RNA, C/D box 85	snoRNA
lmo2_peak_1070	chr3	8716555	8716857	+	117	NA	Intergenic	Intergenic	-49668	NM_010423	15213	Mm.29581	NM_010423	ENSMUSG00000040289	Hey1	AI316788|AI414254|CHF2|HRT1|Herp2|Hesr1|bHLHb31|hesr-1	hairy/enhancer-of-split related with YRPW motif 1	protein-coding
lmo2_peak_1301	chr5	36597814	36598077	+	117	NA	Intergenic	Intergenic	-11719	NM_001113362	100855	Mm.486203	NM_133910	ENSMUSG00000029192	Tbc1d14	2810413P16Rik|AU043625|C86258|D5Ertd110e|mKIAA1322	TBC1 domain family, member 14	protein-coding
lmo2_peak_66	chr1	134426356	134426610	+	117	NA	intron (NM_001306069, intron 5 of 7)	intron (NM_001306069, intron 5 of 7)	10819	NM_001306069	72674	Mm.259976	NM_028320	ENSMUSG00000026457	Adipor1	2810031L11Rik|ACDCR1|CGI-45|Paqr1	adiponectin receptor 1	protein-coding
lmo2_peak_1082	chr3	38439356	38439638	+	117	NA	Intergenic	Intergenic	45319	NM_001167883	99696	Mm.290937	NM_001033198	ENSMUSG00000044864	Ankrd50	AI662170|E430012K20Rik|mKIAA1223|mKIAA3019	ankyrin repeat domain 50	protein-coding
lmo2_peak_371	chr12	80270860	80271101	+	117	NA	Intergenic	Intergenic	-10599	NM_001346669	109711	Mm.253564	NM_134156	ENSMUSG00000015143	Actn1	3110023F10Rik|Actn1a	actinin, alpha 1	protein-coding
lmo2_peak_341	chr12	17507302	17507688	+	117	NA	Intergenic	Intergenic	-37378	NM_013614	18263	Mm.34102	NM_013614	ENSMUSG00000011179	Odc1	ODC	ornithine decarboxylase, structural 1	protein-coding
lmo2_peak_1183	chr4	60632902	60633054	+	117	NA	intron (NM_008647, intron 7 of 7)	ERVB4_1B-I_MM-int|LTR|ERVK	29387	NM_001134644	100048885	Mm.422695	NM_001134644		Gm2083	-	major urinary protein LOC100048885	protein-coding
lmo2_peak_89	chr1	176137762	176138022	+	117	NA	intron (NM_001195816, intron 2 of 9)	RLTR50B|LTR|ERVK	76050	NM_001357845	319455	Mm.338001	NM_176916	ENSMUSG00000055214	Pld5	B230365F16Rik	phospholipase D family, member 5	protein-coding
lmo2_peak_1003	chr2	104078430	104078625	+	117	NA	intron (NM_001368215, intron 2 of 4)	intron (NM_001368215, intron 2 of 4)	7461	NM_181858	333883	Mm.359026	NM_181858	ENSMUSG00000068686	Cd59b	-	CD59b antigen	protein-coding
lmo2_peak_1222	chr4	117830150	117830450	+	117	NA	Intergenic	Intergenic	-4958	NM_008135	14664	Mm.244549	NM_008135	ENSMUSG00000028542	Slc6a9	Glyt-1|Glyt1	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	protein-coding
lmo2_peak_883	chr19	40536631	40536831	+	117	NA	Intergenic	Intergenic	-22919	NM_009166	20411	Mm.210815	NM_009166	ENSMUSG00000025006	Sorbs1	2310065E01Rik|9530001P15Rik|CAP|SH3P12|Sh3d5|mKIAA1296	sorbin and SH3 domain containing 1	protein-coding
lmo2_peak_1360	chr5	128715309	128715586	+	117	NA	Intergenic	Intergenic	-20799	NM_021311	57749	Mm.272720	NM_021311	ENSMUSG00000029423	Piwil1	MIWI	piwi-like RNA-mediated gene silencing 1	protein-coding
lmo2_peak_1850	chr9	107971853	107972062	+	116	NA	3' UTR (NM_011634, exon 15 of 15)	3' UTR (NM_011634, exon 15 of 15)	-3610	NM_023738	74153	Mm.277125	NM_023738	ENSMUSG00000032596	Uba7	1300004C08Rik|Ube1l	ubiquitin-like modifier activating enzyme 7	protein-coding
lmo2_peak_397	chr12	109971475	109971886	+	112	NA	Intergenic	Intergenic	186393	NR_045466	67280	Mm.390495	NR_045466	ENSMUSG00000113331	3110009F21Rik	-	RIKEN cDNA 3110009F21 gene	ncRNA
lmo2_peak_273	chr11	78772005	78772201	+	111	NA	Intergenic	Intergenic	-20374	NM_197989	69109	Mm.341420	NM_197989	ENSMUSG00000049489	Ccnq	1810009O10Rik|Fam58a|Fam58b	cyclin Q	protein-coding
lmo2_peak_100	chr1	189756804	189757023	+	111	NA	intron (NM_008976, intron 1 of 18)	intron (NM_008976, intron 1 of 18)	28645	NM_008976	19250	Mm.4498	NM_008976	ENSMUSG00000026604	Ptpn14	C130080N23Rik|PTP36	protein tyrosine phosphatase, non-receptor type 14	protein-coding
lmo2_peak_888	chr19	45445338	45445488	+	106	NA	intron (NM_001360127, intron 2 of 13)	intron (NM_001360127, intron 2 of 13)	81679	NM_001286466	12234	Mm.119717	NM_009771	ENSMUSG00000025217	Btrc	Beta-Trcp1|E3RS-IkappaB|E3RSIkappaB|FWD1|Fbw1a|HOS|SCF b-TRCP|Slimb|b-TrCP|beta-TrCP	beta-transducin repeat containing protein	protein-coding
lmo2_peak_775	chr17	56688167	56688387	+	106	NA	intron (NM_027933, intron 2 of 15)	intron (NM_027933, intron 2 of 15)	15052	NM_001252467	71810	Mm.29608	NM_027933	ENSMUSG00000002372	Ranbp3	2610024N24Rik|AA408221	RAN binding protein 3	protein-coding
lmo2_peak_495	chr13	103220708	103220990	+	106	NA	intron (NM_175171, intron 1 of 28)	intron (NM_175171, intron 1 of 28)	113643	NM_175171	328329	Mm.202606	NM_175171	ENSMUSG00000034751	Mast4	4930420O11Rik|AI642422|mKIAA0303	microtubule associated serine/threonine kinase family member 4	protein-coding
lmo2_peak_215	chr11	16977148	16977329	+	106	NA	intron (NM_019549, intron 9 of 9)	intron (NM_019549, intron 9 of 9)	25828	NM_176982	319701	Mm.120672	NM_176982	ENSMUSG00000044966	Fbxo48	A630050E13Rik	F-box protein 48	protein-coding
lmo2_peak_503	chr13	111870213	111870392	+	106	NA	intron (NR_130345, intron 2 of 2)	intron (NR_130345, intron 2 of 2)	2366	NR_130345	102636620	Mm.402328	NR_130345	ENSMUSG00000086111	Gm15326	-	predicted gene 15326	ncRNA
lmo2_peak_1066	chr2	173586637	173586899	+	106	NA	intron (NR_027957, intron 13 of 14)	CpG	-8495	NM_001199955	70065	Mm.425115	NM_027303	ENSMUSG00000027517	Ankrd60	1700019A24Rik|1700030G11Rik	ankyrin repeat domain 60	protein-coding
lmo2_peak_685	chr16	44962742	44963036	+	106	NA	intron (NM_029018, intron 5 of 5)	intron (NM_029018, intron 5 of 5)	19211	NM_001128133	74603	Mm.297337	NM_027578	ENSMUSG00000036172	Cd200r3	4733401I18Rik|4833409J19Rik|AI505817|BB106877|mCD200RLb	CD200 receptor 3	protein-coding
lmo2_peak_108	chr10	5593576	5593779	+	106	NA	promoter-TSS (NM_026793)	promoter-TSS (NM_026793)	-51	NM_026793	68632	Mm.338242	NM_026793	ENSMUSG00000046916	Myct1	1110020B04Rik|AI225941|AI642973|Mtmc1	myc target 1	protein-coding
lmo2_peak_125	chr10	29398408	29398811	+	106	NA	Intergenic	RLTR34C_MM|LTR|ERVK	-36167	NM_026518	68031	Mm.28930	NM_026518	ENSMUSG00000038876	Rnf146	2610509H23Rik|Iduna	ring finger protein 146	protein-coding
lmo2_peak_1044	chr2	160741624	160741830	+	106	NA	intron (NM_021280, intron 2 of 33)	L2c|LINE|L2	10417	NM_021280	18803	Mm.44463	NM_021280	ENSMUSG00000016933	Plcg1	AI894140|Cded|Plc-1|Plc-gamma1|Plcg-1	phospholipase C, gamma 1	protein-coding
lmo2_peak_1443	chr6	88190688	88190939	+	106	NA	Intergenic	CpG	-3078	NM_001355253	14461	Mm.491156	NM_008090	ENSMUSG00000015053	Gata2	Gata-2	GATA binding protein 2	protein-coding
lmo2_peak_141	chr10	59430799	59431121	+	106	NA	exon (NM_010959, exon 5 of 9)	exon (NM_010959, exon 5 of 9)	10819	NM_010959	18302	Mm.123013	NM_010959	ENSMUSG00000009654	Oit3	EF-9|LZP	oncoprotein induced transcript 3	protein-coding
lmo2_peak_1129	chr3	126463298	126463453	+	106	NA	Intergenic	L1MEd|LINE|L1	99523	NM_173451	271970	Mm.317021	NM_173451	ENSMUSG00000046561	Arsj	9330196J05Rik|D830047F08	arylsulfatase J	protein-coding
lmo2_peak_1141	chr3	143158488	143158708	+	106	NA	Intergenic	Intergenic	-84457	NR_040551	320072	Mm.136397	NR_040551	ENSMUSG00000105923	A830019L24Rik	-	RIKEN cDNA A830019L24 gene	ncRNA
lmo2_peak_1471	chr6	125964047	125964261	+	106	NA	intron (NM_001364563, intron 15 of 23)	intron (NM_001364563, intron 15 of 23)	200806	NM_001164035	18205	Mm.267570	NM_008742	ENSMUSG00000049107	Ntf3	AI316846|AI835689|HDNF|NGF-2|Nt3|Ntf-3	neurotrophin 3	protein-coding
lmo2_peak_692	chr16	57858234	57858430	+	106	NA	Intergenic	Intergenic	-103595	NM_007739	12837	Mm.130388	NM_007739	ENSMUSG00000068196	Col8a1	Col8a-1	collagen, type VIII, alpha 1	protein-coding
lmo2_peak_590	chr15	41884037	41884341	+	106	NA	Intergenic	Intergenic	-14469	NM_175456	223513	Mm.148913	NM_175456	ENSMUSG00000042895	Abra	C130068O12Rik|STARS	actin-binding Rho activating protein	protein-coding
lmo2_peak_382	chr12	88984029	88984228	+	106	NA	intron (NM_172544, intron 2 of 19)	intron (NM_172544, intron 2 of 19)	30738	NM_172544	18191	Mm.425766	NM_172544	ENSMUSG00000066392	Nrxn3	-	neurexin III	protein-coding
lmo2_peak_642	chr15	97663917	97664152	+	106	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	41788	NM_028003	71919	Mm.12255	NM_028003	ENSMUSG00000022466	Rpap3	2310042P20Rik|D15Ertd682e	RNA polymerase II associated protein 3	protein-coding
lmo2_peak_1876	chrX	48153567	48153752	+	106	NA	intron (NM_028773, intron 1 of 7)	intron (NM_028773, intron 1 of 7)	7223	NM_028773	74131	Mm.276131	NM_028773	ENSMUSG00000031101	Sash3	1200013B08Rik|AW413946|SLY1	SAM and SH3 domain containing 3	protein-coding
lmo2_peak_1510	chr7	73765639	73765803	+	106	NA	intron (NM_001162532, intron 1 of 2)	intron (NM_001162532, intron 1 of 2)	25414	NM_001162532	100038347	Mm.425464	NM_001162532	ENSMUSG00000078670	Fam174b	-	family with sequence similarity 174, member B	protein-coding
lmo2_peak_1524	chr7	89367677	89367954	+	106	NA	intron (NM_001360746, intron 1 of 14)	intron (NM_001360746, intron 1 of 14)	-29028	NM_001360745	72759	Mm.208477	NM_028343	ENSMUSG00000039428	Tmem135	2810439K08Rik|AW319712|PMP52	transmembrane protein 135	protein-coding
lmo2_peak_1674	chr8	85380941	85381288	+	106	NA	promoter-TSS (NM_001297612)	promoter-TSS (NM_001297612)	-73	NM_001297612	213435	Mm.32804	NM_175441	ENSMUSG00000031698	Mylk3	D830007F02Rik|MLCK	myosin light chain kinase 3	protein-coding
lmo2_peak_192	chr10	117106324	117106524	+	106	NA	intron (NM_177798, intron 1 of 9)	intron (NM_177798, intron 1 of 9)	42050	NM_177798	327826	Mm.135965	NM_177798	ENSMUSG00000020170	Frs2	4732458E18|C330018A15Rik|Frs2alpha|SNT1	fibroblast growth factor receptor substrate 2	protein-coding
lmo2_peak_1012	chr2	121036657	121037111	+	106	NA	promoter-TSS (NM_013513)	promoter-TSS (NM_013513)	-7	NM_013513	13828	Mm.240051	NM_013513	ENSMUSG00000023216	Epb42	Epb4.2	erythrocyte membrane protein band 4.2	protein-coding
lmo2_peak_34	chr1	79687352	79687580	+	106	NA	Intergenic	Intergenic	-15494	NM_183027	252903	Mm.32409	NM_183027	ENSMUSG00000054702	Ap1s3	1190009B22|Jr2|[s]3A	adaptor-related protein complex AP-1, sigma 3	protein-coding
lmo2_peak_420	chr13	28680216	28680489	+	106	NA	intron (NR_045054, intron 3 of 7)	intron (NR_045054, intron 3 of 7)	30521	NR_105787	102466635		NR_105787	ENSMUSG00000099158	Mir6368	Gm27800|mmu-mir-6368	microRNA 6368	ncRNA
lmo2_peak_38	chr1	84839337	84839646	+	106	NA	promoter-TSS (NM_025386)	promoter-TSS (NM_025386)	-187	NM_133975	14897	Mm.209265	NM_133975	ENSMUSG00000026219	Trip12	1110036I07Rik|6720416K24Rik|AA410158|Gtl6|TRIP-12	thyroid hormone receptor interactor 12	protein-coding
lmo2_peak_853	chr19	6448782	6449029	+	106	NA	intron (NM_001369363, intron 4 of 22)	intron (NM_001369363, intron 4 of 22)	30149	NM_001205235	18190	Mm.329616	NM_020253	ENSMUSG00000033768	Nrxn2	6430591O13Rik|mKIAA0921	neurexin II	protein-coding
lmo2_peak_1231	chr4	124802970	124803195	+	106	NA	intron (NM_008636, intron 1 of 10)	intron (NM_008636, intron 1 of 10)	533	NM_008636	17764	Mm.272397	NM_008636	ENSMUSG00000028890	Mtf1	MTF-1|Thyls	metal response element binding transcription factor 1	protein-coding
lmo2_peak_1564	chr7	130520926	130521154	+	106	NA	promoter-TSS (NM_001271343)	promoter-TSS (NM_001271343)	-671	NM_001029895	11907	Mm.216321	NM_013799	ENSMUSG00000030850	Ate1	AI225793|AW547406	arginyltransferase 1	protein-coding
lmo2_peak_1795	chr9	59551912	59552202	+	106	NA	intron (NM_010421, intron 1 of 13)	intron (NM_010421, intron 1 of 13)	12517	NM_010421	15211	Mm.2284	NM_010421	ENSMUSG00000025232	Hexa	Hex-1	hexosaminidase A	protein-coding
lmo2_peak_1630	chr8	36528399	36528573	+	106	NA	Intergenic	Intergenic	39295	NM_176952	319582	Mm.180924	NM_176952	ENSMUSG00000039620	Trmt9b	6430573F11Rik|Kiaa1456|TRM9L	tRNA methyltransferase 9B	protein-coding
