PeakID (cmd=annotatePeaks.pl shared_peaks.bed mm10 -annStats shared_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_297	chr11	100891523	100891961	+	369	NA	intron (NM_213660, intron 21 of 23)	intron (NM_213660, intron 21 of 23)	31258	NM_001164062	20850	Mm.277403	NM_011488	ENSMUSG00000004043	Stat5a	AA959963|STAT5	signal transducer and activator of transcription 5A	protein-coding
lmo2_peak_374	chr12	83073003	83073738	+	369	NA	intron (NM_015812, intron 12 of 16)	intron (NM_015812, intron 12 of 16)	-134215	NR_046045	74283	Mm.398247	NR_046045	ENSMUSG00000100890	1700085C21Rik	-	RIKEN cDNA 1700085C21 gene	ncRNA
lmo2_peak_1445	chr6	88226460	88226897	+	362	NA	Intergenic	Intergenic	4410	NM_019964	56691	Mm.272871	NM_019964	ENSMUSG00000048206	Dnajb8	1700016F14Rik|1700031F10Rik|AI326313|mDj6	DnaJ heat shock protein family (Hsp40) member B8	protein-coding
lmo2_peak_1397	chr6	29701040	29701426	+	362	NA	intron (NM_001301407, intron 1 of 7)	intron (NM_001301407, intron 1 of 7)	7019	NM_146173	232670	Mm.225289	NM_146173	ENSMUSG00000001763	Tspan33	1300010A20Rik|Pen	tetraspanin 33	protein-coding
lmo2_peak_603	chr15	61442559	61442908	+	362	NA	Intergenic	Intergenic	331718	NR_040350	432956	Mm.404918	NR_040350	ENSMUSG00000116031	D030024E09Rik	-	RIKEN cDNA D030024E09 gene	ncRNA
lmo2_peak_1533	chr7	100845325	100845625	+	353	NA	TTS (NM_001358914)	TTS (NM_001358914)	17938	NM_177073	320100	Mm.40336	NM_177073	ENSMUSG00000008318	Relt	E430021K24Rik|Tnfrsf19l	RELT tumor necrosis factor receptor	protein-coding
lmo2_peak_123	chr10	22854422	22854669	+	353	NA	Intergenic	Intergenic	-34402	NM_011545	21412	Mm.16497	NM_011545	ENSMUSG00000045680	Tcf21	Pod-1|Pod1|bHLHa23|capsulin|epc|epicardin	transcription factor 21	protein-coding
lmo2_peak_1028	chr2	133429711	133430109	+	353	NA	Intergenic	Intergenic	-122249	NM_007553	12156	Mm.103205	NM_007553	ENSMUSG00000027358	Bmp2	AI467020|Bmp2a	bone morphogenetic protein 2	protein-coding
lmo2_peak_1515	chr7	79358521	79358849	+	353	NA	intron (NM_018811, intron 10 of 10)	intron (NM_018811, intron 10 of 10)	28342	NM_001357450	19771	Mm.41653	NM_020599	ENSMUSG00000039194	Rlbp1	3110056M11Rik|CRALBP	retinaldehyde binding protein 1	protein-coding
lmo2_peak_340	chr12	17506007	17506416	+	353	NA	Intergenic	Intergenic	-38662	NM_013614	18263	Mm.34102	NM_013614	ENSMUSG00000011179	Odc1	ODC	ornithine decarboxylase, structural 1	protein-coding
lmo2_peak_274	chr11	78832854	78833253	+	353	NA	intron (NM_001076681, intron 1 of 3)	intron (NM_001076681, intron 1 of 3)	6458	NM_001076681	66274	Mm.258932	NM_001076681	ENSMUSG00000072640	Lyrm9	1810012P15Rik	LYR motif containing 9	protein-coding
lmo2_peak_953	chr2	60730061	60730421	+	348	NA	Intergenic	Intergenic	-7638	NM_001159564	16420	Mm.98193	NM_021359	ENSMUSG00000026971	Itgb6	2210409C20Rik|4831415H04Rik	integrin beta 6	protein-coding
lmo2_peak_1486	chr6	142831341	142831656	+	348	NA	intron (NR_045707, intron 6 of 6)	intron (NR_045707, intron 6 of 6)	17267	NR_045707	665037	Mm.401493	NR_045707	ENSMUSG00000072683	Gm7457	EG665037	predicted gene 7457	ncRNA
lmo2_peak_1722	chr8	122060174	122060511	+	345	NA	Intergenic	Intergenic	82318	NR_106096	102466915		NR_106096	ENSMUSG00000099140	Mir7237	Gm27482|mmu-mir-7237	microRNA 7237	ncRNA
lmo2_peak_1619	chr8	32209752	32210326	+	342	NA	Intergenic	Intergenic	58144	NR_046039	666589	Mm.367675	NR_046039		Gm8179	EG666589	predicted gene 8179	ncRNA
lmo2_peak_1592	chr8	11047812	11048135	+	340	NA	intron (NR_046017, intron 2 of 4)	intron (NR_046017, intron 2 of 4)	-39044	NM_001081212	384783	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding
lmo2_peak_1092	chr3	65897367	65897821	+	338	NA	Intergenic	Intergenic	60655	NM_019937	56706	Mm.175612	NM_019937	ENSMUSG00000027829	Ccnl1	2610030E23Rik|AU018493|Ccnl|ania-6a	cyclin L1	protein-coding
lmo2_peak_451	chr13	52222883	52223519	+	338	NA	Intergenic	Intergenic	126460	NR_045061	74050	Mm.84860	NR_045061	ENSMUSG00000113211	4921525O09Rik	-	RIKEN cDNA 4921525O09 gene	ncRNA
lmo2_peak_431	chr13	43193085	43193622	+	338	NA	Intergenic	Intergenic	-21852	NM_025935	67046	Mm.269213	NM_025935	ENSMUSG00000021368	Tbc1d7	2610009C09Rik	TBC1 domain family, member 7	protein-coding
lmo2_peak_1859	chr9	115760445	115760870	+	338	NA	Intergenic	Intergenic	-148798	NM_028638	73748	Mm.485018	NM_028638	ENSMUSG00000056880	Gadl1	1110027M19Rik|ADC|CSADC	glutamate decarboxylase-like 1	protein-coding
lmo2_peak_814	chr18	32538351	32538683	+	338	NA	intron (NM_001048207, intron 1 of 2)	intron (NM_001048207, intron 1 of 2)	21517	NM_001347610	71683	Mm.292145	NM_027863	ENSMUSG00000090523	Gypc	0610037F22Rik|Cd236r	glycophorin C	protein-coding
lmo2_peak_1285	chr5	22348444	22348850	+	336	NA	Intergenic	Intergenic	-3942	NM_011261	19699	Mm.425236	NM_011261	ENSMUSG00000042453	Reln	reeler|rl	reelin	protein-coding
lmo2_peak_1746	chr8	127516001	127516551	+	333	NA	intron (NM_001363431, intron 22 of 24)	intron (NM_001363431, intron 22 of 24)	216664	NM_001013580	93742	Mm.299254	NM_033620	ENSMUSG00000025812	Pard3	AA960621|AI256638|Asip|D8Ertd580e|Par-3|Par3|Pard-3|Pard3a|Phip	par-3 family cell polarity regulator	protein-coding
lmo2_peak_1359	chr5	128542239	128542618	+	323	NA	Intergenic	Intergenic	58259	NR_015517	319616	Mm.387738	NR_015517	ENSMUSG00000072591	Fzd10os	5930412G12Rik|Fzd10as	frizzled class receptor 10, opposite strand	ncRNA
lmo2_peak_81	chr1	168288171	168288610	+	323	NA	intron (NM_001291508, intron 2 of 7)	intron (NM_001291508, intron 2 of 7)	143779	NM_183355	18514	Mm.43358	NM_008783	ENSMUSG00000052534	Pbx1	2310056B04Rik|D230003C07Rik|Pbx-1	pre B cell leukemia homeobox 1	protein-coding
lmo2_peak_1571	chr7	139234581	139235022	+	323	NA	intron (NM_027164, intron 8 of 10)	intron (NM_027164, intron 8 of 10)	-13681	NM_001098636	101631	Mm.334300	NM_001033206	ENSMUSG00000060260	Pwwp2b	AI594893|D7Ertd517e|D930023J19Rik|Pwwp2	PWWP domain containing 2B	protein-coding
lmo2_peak_276	chr11	81535375	81535750	+	323	NA	intron (NM_001034013, intron 1 of 9)	intron (NM_001034013, intron 1 of 9)	37977	NM_001033765	237880	Mm.435528	NM_001033765		1700071K01Rik	-	RIKEN cDNA 1700071K01 gene	protein-coding
lmo2_peak_269	chr11	72415201	72415648	+	323	NA	Intergenic	Intergenic	-3711	NM_177776	276829	Mm.46732	NM_177776	ENSMUSG00000045667	Smtnl2	D130058I21Rik	smoothelin-like 2	protein-coding
lmo2_peak_225	chr11	30166185	30166610	+	323	NA	intron (NM_175836, intron 1 of 34)	intron (NM_175836, intron 1 of 34)	31860	NM_009260	20742	Mm.123110	NM_009260	ENSMUSG00000020315	Sptbn1	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	spectrin beta, non-erythrocytic 1	protein-coding
lmo2_peak_1580	chr7	144786585	144786993	+	323	NA	Intergenic	L2|LINE|L2	-48197	NM_178642	101772	Mm.26700	NM_178642	ENSMUSG00000031075	Ano1	Tmem16a	anoctamin 1, calcium activated chloride channel	protein-coding
lmo2_peak_1029	chr2	133430688	133431195	+	323	NA	Intergenic	Intergenic	-121218	NM_007553	12156	Mm.103205	NM_007553	ENSMUSG00000027358	Bmp2	AI467020|Bmp2a	bone morphogenetic protein 2	protein-coding
lmo2_peak_292	chr11	95835127	95835423	+	323	NA	intron (NM_001163464, intron 3 of 7)	intron (NM_001163464, intron 3 of 7)	-7020	NM_001284393	14710	Mm.46299	NM_023121	ENSMUSG00000038811	Gngt2	AV096488	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	protein-coding
lmo2_peak_1849	chr9	107587280	107587548	+	323	NA	promoter-TSS (NM_025903)	promoter-TSS (NM_025903)	-304	NM_025903	15983	Mm.215335	NM_025903	ENSMUSG00000010048	Ifrd2	1810034A24Rik|AA470234|AI838527|SKMc15	interferon-related developmental regulator 2	protein-coding
lmo2_peak_1771	chr9	32607197	32607571	+	320	NA	Intergenic	Intergenic	-65932	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
lmo2_peak_672	chr16	31598357	31598733	+	312	NA	Intergenic	Intergenic	-19588	NM_001357871	224098	Mm.125439	NM_001357870		Gm536	Gm1777	predicted gene 536	protein-coding
lmo2_peak_300	chr11	101260055	101260435	+	310	NA	promoter-TSS (NM_175638)	promoter-TSS (NM_175638)	-322	NM_175638	69847	Mm.23656	NM_175638	ENSMUSG00000035112	Wnk4	2010002J11Rik|Pha2b|Prkwnk4	WNK lysine deficient protein kinase 4	protein-coding
lmo2_peak_1647	chr8	68416620	68416993	+	310	NA	intron (NM_172753, intron 4 of 9)	intron (NM_172753, intron 4 of 9)	48347	NR_038181	73609	Mm.443247	NR_038181	ENSMUSG00000085197	1700125H03Rik	4930510D22Rik	RIKEN cDNA 1700125H03 gene	ncRNA
lmo2_peak_802	chr18	11078054	11078414	+	308	NA	intron (NM_010258, intron 6 of 6)	intron (NM_010258, intron 6 of 6)	-25667	NR_105023	68434	Mm.57626	NR_105022	ENSMUSG00000097222	1010001N08Rik	Gata6as	RIKEN cDNA 1010001N08 gene	ncRNA
lmo2_peak_1624	chr8	34699077	34699370	+	308	NA	Intergenic	Intergenic	-58907	NR_040706	330734	Mm.149998	NR_040706	ENSMUSG00000109819	B930018H19Rik	B930018H19	RIKEN cDNA B930018H19 gene	ncRNA
lmo2_peak_577	chr15	9074689	9074982	+	308	NA	intron (NM_001085410, intron 1 of 13)	intron (NM_001085410, intron 1 of 13)	3575	NM_001085410	68646	Mm.244226	NM_001040395	ENSMUSG00000022253	Nadk2	MNADK|Nadkd1	NAD kinase 2, mitochondrial	protein-coding
lmo2_peak_1140	chr3	143157056	143157481	+	308	NA	Intergenic	MLTR18D_MM|LTR|ERVK	-85787	NR_040551	320072	Mm.136397	NR_040551	ENSMUSG00000105923	A830019L24Rik	-	RIKEN cDNA A830019L24 gene	ncRNA
lmo2_peak_31	chr1	75463810	75464090	+	308	NA	intron (NM_183022, intron 1 of 9)	intron (NM_183022, intron 1 of 9)	13440	NM_183022	241118	Mm.110790	NM_183022	ENSMUSG00000033007	Asic4	Accn4|BNAC4	acid-sensing (proton-gated) ion channel family member 4	protein-coding
lmo2_peak_1265	chr4	145034484	145034805	+	308	NA	intron (NM_001276465, intron 65 of 69)	intron (NM_001276465, intron 65 of 69)	141507	NM_001357277	20148	Mm.14063	NM_011303	ENSMUSG00000066026	Dhrs3	Rsdr1|retSDR1	dehydrogenase/reductase (SDR family) member 3	protein-coding
lmo2_peak_1651	chr8	70276485	70276882	+	306	NA	Intergenic	Intergenic	-6316	NM_011984	26558	Mm.388127	NM_011984	ENSMUSG00000003573	Homer3	AW146114	homer scaffolding protein 3	protein-coding
lmo2_peak_1303	chr5	36736056	36736378	+	300	NA	Intergenic	Intergenic	12462	NM_133724	117197	Mm.46744	NM_133724	ENSMUSG00000060708	Bloc1s4	2610101N07Rik|Blos4|Cno	biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino	protein-coding
lmo2_peak_1663	chr8	79380456	79380735	+	299	NA	intron (NM_008539, intron 1 of 6)	intron (NM_008539, intron 1 of 6)	18833	NM_008539	17125	Mm.223717	NM_008539	ENSMUSG00000031681	Smad1	AI528653|Mad1|Madh1|Madr1|Mlp1|MusMLP|dwf-A|mMad1	SMAD family member 1	protein-coding
lmo2_peak_1714	chr8	120475531	120475854	+	297	NA	Intergenic	Intergenic	-13174	NM_198671	382034	Mm.334856	NM_198671	ENSMUSG00000031822	Gse1	2210013I18Rik|mKIAA0182	genetic suppressor element 1, coiled-coil protein	protein-coding
lmo2_peak_119	chr10	21228420	21228834	+	294	NA	Intergenic	LTR86C|LTR|ERVL	41683	NR_152786	102636600	Mm.227606	NR_152786	ENSMUSG00000111005	Gm33619	-	predicted gene, 33619	ncRNA
lmo2_peak_891	chr19	46727885	46728474	+	294	NA	intron (NM_020577, intron 10 of 10)	intron (NM_020577, intron 10 of 10)	20721	NM_020577	57344	Mm.28566	NM_020577	ENSMUSG00000003559	As3mt	2310045H08Rik|Cyt19	arsenic (+3 oxidation state) methyltransferase	protein-coding
lmo2_peak_1916	chrX	150549593	150550063	+	294	NA	intron (NM_001102446, intron 1 of 10)	intron (NM_001102446, intron 1 of 10)	-2383	NR_106147	102465782		NR_106147	ENSMUSG00000099172	Mir3620	Gm27984|mmu-mir-3620	microRNA 3620	ncRNA
lmo2_peak_1071	chr3	8761968	8762269	+	294	NA	Intergenic	MIRb|SINE|MIR	-95080	NM_010423	15213	Mm.29581	NM_010423	ENSMUSG00000040289	Hey1	AI316788|AI414254|CHF2|HRT1|Herp2|Hesr1|bHLHb31|hesr-1	hairy/enhancer-of-split related with YRPW motif 1	protein-coding
lmo2_peak_1059	chr2	170657836	170658248	+	293	NA	Intergenic	Intergenic	-56025	NR_027825	67637	Mm.158163	NM_026287	ENSMUSG00000043583	4930470P17Rik	-	RIKEN cDNA 4930470P17 gene	ncRNA
lmo2_peak_1621	chr8	33931136	33931446	+	285	NA	Intergenic	Intergenic	-1428	NM_001286168	19663	Mm.323997	NM_019733	ENSMUSG00000031586	Rbpms	2010300K22Rik|2700019M19Rik|AU017537|RBP-MS|hermes	RNA binding protein gene with multiple splicing	protein-coding
lmo2_peak_704	chr16	91545503	91545825	+	285	NA	Intergenic	Intergenic	-1395	NM_008338	15980	Mm.249364	NM_008338	ENSMUSG00000022965	Ifngr2	Ifgr2|Ifgt	interferon gamma receptor 2	protein-coding
lmo2_peak_278	chr11	83286629	83286900	+	279	NA	promoter-TSS (NM_001166028)	promoter-TSS (NM_001166028)	-38	NM_001166028	237890	Mm.297670	NM_001166028	ENSMUSG00000082101	Slfn14	Gm20|Slfn14-ps	schlafen 14	protein-coding
lmo2_peak_1431	chr6	71106424	71106894	+	279	NA	Intergenic	Intergenic	37721	NM_178413	232078	Mm.37547	NM_178413	ENSMUSG00000054474	Thnsl2	BC051244|TSH2	threonine synthase-like 2 (bacterial)	protein-coding
lmo2_peak_1287	chr5	23922777	23923206	+	279	NA	intron (NM_001310471, intron 10 of 10)	intron (NM_001310471, intron 10 of 10)	70758	NR_028536	100217436		NR_028536		Snord93	Gm22397|MBII-336	small nucleolar RNA, C/D box 93	snoRNA
lmo2_peak_1086	chr3	53730395	53730746	+	279	NA	Intergenic	Intergenic	-73215	NM_172862	242022	Mm.38378	NM_172862	ENSMUSG00000037016	Frem2	6030440P17Rik|8430406N05Rik|Gm409|b2b1562Clo|my|ne|nv1	Fras1 related extracellular matrix protein 2	protein-coding
lmo2_peak_59	chr1	131126230	131126582	+	279	NA	Intergenic	Intergenic	11828	NM_145508	226419	Mm.39299	NM_145508	ENSMUSG00000016526	Dyrk3	BC006704	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	protein-coding
lmo2_peak_455	chr13	60743351	60743672	+	279	NA	intron (NM_134062, intron 19 of 26)	intron (NM_134062, intron 19 of 26)	42853	NM_199148	218275	Mm.222427	NM_199148	ENSMUSG00000042243	BC051665	-	cDNA sequence BC051665	protein-coding
lmo2_peak_1703	chr8	117085599	117085923	+	273	NA	Intergenic	Intergenic	-3312	NM_029686	76645	Mm.159753	NM_029686	ENSMUSG00000034416	Pkd1l2	1700126L06Rik	polycystic kidney disease 1 like 2	protein-coding
lmo2_peak_8	chr1	38499524	38499814	+	267	NA	intron (NM_001290814, intron 4 of 21)	intron (NM_001290814, intron 4 of 21)	127575	NM_001290814	16764	Mm.336679	NM_010678	ENSMUSG00000037138	Aff3	3222402O04Rik|A730046J16|LAF-4|Laf4	AF4/FMR2 family, member 3	protein-coding
lmo2_peak_434	chr13	43908328	43908774	+	266	NA	Intergenic	Intergenic	123439	NM_001289915	12522	Mm.57175	NM_009856	ENSMUSG00000015396	Cd83	-	CD83 antigen	protein-coding
lmo2_peak_608	chr15	67151165	67151546	+	265	NA	intron (NM_009177, intron 2 of 8)	intron (NM_009177, intron 2 of 8)	25527	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
lmo2_peak_947	chr2	45184198	45184588	+	265	NA	Intergenic	MIRc|SINE|MIR	-66951	NM_001355288	24136	Mm.440702	NM_015753	ENSMUSG00000026872	Zeb2	9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b	zinc finger E-box binding homeobox 2	protein-coding
lmo2_peak_1557	chr7	123459299	123459627	+	265	NA	Intergenic	Intergenic	-2831	NM_007474	11833	Mm.273175	NM_007474	ENSMUSG00000030762	Aqp8	AI255744|AQP-8	aquaporin 8	protein-coding
lmo2_peak_1307	chr5	38509538	38509905	+	265	NA	Intergenic	Intergenic	-7569	NM_145559	117591	Mm.260137	NM_145559	ENSMUSG00000005107	Slc2a9	Glut9|SLC2A9B|SLC2a9A	solute carrier family 2 (facilitated glucose transporter), member 9	protein-coding
lmo2_peak_90	chr1	176573677	176574139	+	265	NA	Intergenic	Intergenic	-46639	NR_151528	102640488	Mm.415515	NR_151528	ENSMUSG00000104021	Gm36536	-	predicted gene, 36536	ncRNA
lmo2_peak_698	chr16	89827728	89828101	+	265	NA	intron (NM_001145886, intron 15 of 27)	intron (NM_001145886, intron 15 of 27)	-9562	NM_001145887	21844	Mm.310902	NM_009384	ENSMUSG00000002489	Tiam1	AI847750|D16Ium10|D16Ium10e	T cell lymphoma invasion and metastasis 1	protein-coding
lmo2_peak_1769	chr9	32581985	32582296	+	265	NA	Intergenic	Intergenic	-40688	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
lmo2_peak_1743	chr8	125959348	125959699	+	265	NA	Intergenic	Intergenic	-35579	NM_008430	16525	Mm.10800	NM_008430	ENSMUSG00000033998	Kcnk1	AI788889|TWIK-1	potassium channel, subfamily K, member 1	protein-coding
lmo2_peak_649	chr15	103251704	103251984	+	265	NA	promoter-TSS (NM_001302338)	promoter-TSS (NM_001302338)	-157	NM_001302340	18022	Mm.457989	NM_008685	ENSMUSG00000058794	Nfe2	NF-E2|NF-E2/P45|p45|p45NFE2|p45nf-e2	nuclear factor, erythroid derived 2	protein-coding
lmo2_peak_518	chr14	22759761	22760084	+	265	NA	intron (NM_028275, intron 5 of 6)	intron (NM_028275, intron 5 of 6)	-217124	NR_046307	74896	Mm.444661	NR_046307	ENSMUSG00000114412	4930405A10Rik	4930456G20Rik	RIKEN cDNA 4930405A10 gene	ncRNA
lmo2_peak_1037	chr2	152789573	152789842	+	265	NA	intron (NM_001289716, intron 2 of 2)	intron (NM_001289716, intron 2 of 2)	35534	NM_053091	84682	Mm.196668	NM_053091	ENSMUSG00000009876	Cox4i2	Cox4b|CoxIV-2	cytochrome c oxidase subunit 4I2	protein-coding
lmo2_peak_1588	chr8	8516414	8516795	+	261	NA	Intergenic	Intergenic	144638	NM_010111	13642	Mm.209813	NM_010111	ENSMUSG00000001300	Efnb2	ELF-2|Epl5|Eplg5|Htk-L|LERK-5|Lerk5|NLERK-1	ephrin B2	protein-coding
lmo2_peak_1077	chr3	30354414	30354774	+	252	NA	intron (NM_001361034, intron 1 of 16)	intron (NM_001361034, intron 1 of 16)	155081	NM_021442	14013	Mm.56965	NM_007963	ENSMUSG00000027684	Mecom	D630039M04Rik|Evi-1|Evi1|Jbo|Mds|Mds1|Mds1-Evi1|Prdm3|Znfpr1b1	MDS1 and EVI1 complex locus	protein-coding
lmo2_peak_1032	chr2	146259099	146259460	+	252	NA	promoter-TSS (NR_040619)	promoter-TSS (NR_040619)	-7	NR_040619	77806	Mm.392819	NR_040619	ENSMUSG00000085958	A930019D19Rik	-	RIKEN cDNA A930019D19 gene	ncRNA
lmo2_peak_585	chr15	36360740	36361123	+	252	NA	Intergenic	Intergenic	-77784	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
lmo2_peak_403	chr12	117458354	117458764	+	251	NA	Intergenic	Intergenic	-57920	NM_175930	217944	Mm.227642	NM_175930	ENSMUSG00000041992	Rapgef5	4932413M22|C86120|D030051B22Rik|GFR|Mrgef|mKIAA0277|mmr-gef	Rap guanine nucleotide exchange factor (GEF) 5	protein-coding
lmo2_peak_7	chr1	38478028	38478508	+	251	NA	intron (NM_001290814, intron 4 of 21)	intron (NM_001290814, intron 4 of 21)	148976	NM_001290814	16764	Mm.336679	NM_010678	ENSMUSG00000037138	Aff3	3222402O04Rik|A730046J16|LAF-4|Laf4	AF4/FMR2 family, member 3	protein-coding
lmo2_peak_1607	chr8	15982523	15982827	+	251	NA	intron (NM_053171, intron 49 of 69)	intron (NM_053171, intron 49 of 69)	186163	NR_037214	100526464		NR_037214	ENSMUSG00000093142	Mir3106	mir-3106|mmu-mir-3106	microRNA 3106	ncRNA
lmo2_peak_191	chr10	116364751	116365043	+	251	NA	intron (NM_029928, intron 26 of 31)	MER5A1|DNA|hAT-Charlie	-53224	NR_028107	67342	Mm.245800	NM_026098	ENSMUSG00000020164	Kcnmb4os1	1700058G18Rik	potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 1	ncRNA
lmo2_peak_749	chr17	30347105	30347551	+	251	NA	intron (NM_172618, intron 6 of 11)	intron (NM_172618, intron 6 of 11)	48852	NR_030688	623169	Mm.440508	NR_030688		Gm6402	EG623169	ribosomal protein S17 pseudogene	pseudo
lmo2_peak_117	chr10	21054637	21055218	+	251	NA	intron (NM_001358561, intron 18 of 22)	intron (NM_001358561, intron 18 of 22)	14107	NM_001177776	52906	Mm.253280	NM_026203	ENSMUSG00000019986	Ahi1	1700015F03Rik|Ahi-1|D10Bwg0629e	Abelson helper integration site 1	protein-coding
lmo2_peak_1677	chr8	87062571	87063055	+	239	NA	Intergenic	Intergenic	137037	NR_040697	100038706	Mm.334690	NR_040697	ENSMUSG00000099207	Gm10637	-	predicted gene 10637	ncRNA
lmo2_peak_400	chr12	111945120	111945383	+	239	NA	promoter-TSS (NR_029464)	promoter-TSS (NR_029464)	-769	NR_029464	77675	Mm.98331	NR_029464	ENSMUSG00000113769	5033406O09Rik	9130204G15Rik	RIKEN cDNA 5033406O09 gene	ncRNA
lmo2_peak_395	chr12	105738242	105738606	+	237	NA	intron (NM_030187, intron 7 of 17)	intron (NM_030187, intron 7 of 17)	32442	NM_030187	78801	Mm.36006	NM_030187	ENSMUSG00000041323	Ak7	4930502N02Rik|AK 7	adenylate kinase 7	protein-coding
lmo2_peak_861	chr19	17323448	17323681	+	236	NA	Intergenic	Intergenic	15941	NM_001136484	14537	Mm.244825	NM_010265	ENSMUSG00000038843	Gcnt1	5630400D21Rik|B130048E03|C2 GlcNAcT|C2GNT|IGnT	glucosaminyl (N-acetyl) transferase 1, core 2	protein-coding
lmo2_peak_134	chr10	40451803	40452067	+	236	NA	intron (NM_001291817, intron 4 of 11)	intron (NM_001291817, intron 4 of 11)	102627	NM_001168304	78334	Mm.200924	NM_198164	ENSMUSG00000038481	Cdk19	2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028	cyclin-dependent kinase 19	protein-coding
lmo2_peak_294	chr11	96509573	96510104	+	236	NA	intron (NM_001033186, intron 2 of 12)	intron (NM_001033186, intron 2 of 12)	45247	NM_001177898	78473	Mm.395840	NM_001033186	ENSMUSG00000057058	Skap1	1700091G21Rik|Scap1|Skap-55	src family associated phosphoprotein 1	protein-coding
lmo2_peak_1424	chr6	53077114	53077377	+	236	NA	Intergenic	Intergenic	-8621	NM_173406	231986	Mm.386865	NM_173406	ENSMUSG00000063568	Jazf1	AI591476|C820002C15|Jaz1|Tip27	JAZF zinc finger 1	protein-coding
lmo2_peak_879	chr19	38054124	38054390	+	236	NA	promoter-TSS (NM_001164362)	promoter-TSS (NM_001164362)	-727	NM_028293	74107	Mm.9916	NM_028293	ENSMUSG00000024989	Cep55	1200008O12Rik|2700032M20Rik	centrosomal protein 55	protein-coding
lmo2_peak_270	chr11	72955353	72955790	+	236	NA	Intergenic	Intergenic	-5598	NM_001163337	53313	Mm.6306	NM_016745	ENSMUSG00000020788	Atp2a3	SERCA3b|Serca3	ATPase, Ca++ transporting, ubiquitous	protein-coding
lmo2_peak_911	chr2	4175220	4175708	+	236	NA	intron (NM_172475, intron 1 of 22)	intron (NM_172475, intron 1 of 22)	22601	NM_172475	209630	Mm.37932	NM_172475	ENSMUSG00000026657	Frmd4a	2700017I06Rik|5330420J21|AI594879|C230040M21Rik|Frmd4|Gm13190|mKIAA1294	FERM domain containing 4A	protein-coding
lmo2_peak_1705	chr8	118713034	118713613	+	236	NA	intron (NM_019707, intron 3 of 13)	intron (NM_019707, intron 3 of 13)	429712	NM_019707	12554	Mm.334841	NM_019707	ENSMUSG00000031841	Cdh13	4932416G01Rik|Cdht|Tcad	cadherin 13	protein-coding
lmo2_peak_480	chr13	95671513	95671962	+	236	NA	intron (NM_027711, intron 20 of 35)	intron (NM_027711, intron 20 of 35)	-25183	NM_010170	14064	Mm.440952	NM_010170	ENSMUSG00000021675	F2rl2	F730031A08|PAR3	coagulation factor II (thrombin) receptor-like 2	protein-coding
lmo2_peak_383	chr12	88984358	88984661	+	236	NA	intron (NM_172544, intron 2 of 19)	intron (NM_172544, intron 2 of 19)	31119	NM_172544	18191	Mm.425766	NM_172544	ENSMUSG00000066392	Nrxn3	-	neurexin III	protein-coding
lmo2_peak_623	chr15	80440208	80440568	+	236	NA	Intergenic	MIR|SINE|MIR	-1785	NR_155275	102633578	Mm.397484	NR_155274	ENSMUSG00000115888	Gm31369	-	predicted gene, 31369	ncRNA
lmo2_peak_1094	chr3	69469427	69469787	+	236	NA	intron (NM_178726, intron 1 of 3)	intron (NM_178726, intron 1 of 3)	129353	NM_020026	26879	Mm.153710	NM_020026	ENSMUSG00000043300	B3galnt1	B3galt3|b3GT3	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1	protein-coding
lmo2_peak_218	chr11	20231150	20231508	+	236	NA	intron (NM_172260, intron 5 of 6)	intron (NM_172260, intron 5 of 6)	18095	NM_172260	216543	Mm.260314	NM_172260	ENSMUSG00000044066	Cep68	6030463E10Rik|AI481761|BC027174|Kiaa0582	centrosomal protein 68	protein-coding
